,Headline,Acq Status,Acquirer,Acquired
0,'Telefonica confirms Tuenti stake acquisition',Not sure,Telefonica,Tuenti
1,11 Billion Videos Viewed Online in the U.S. in April 2008,Not a headline,,
2,140 Proof Social Advertising Product Launch,No,,
3,3 Key Reasons Facebook Bought FriendFeed,Yes,Facebook,FriendFeed
4,3 Rules You Must Follow If You Want Your Company to Be Exceptional,No,,
5,37signals Buys Campfire iPhone App Ember,Yes,37signals ,Ember
6,80108 and Go2 merge to focus on personal mobile content,Yes,80108,Go2
7,"8x8 Announces Acquisition of Central Host, Inc.",Yes,8x8,"Central Host, Inc."
8,@WalmartLabs Acquires Cloud Computing Startup OneOps & Delicious Founder�s Tasty Labs,Yes,'@WalmartLabs,OneOps and Tasty Labs
9,A NEW QUALITY FACTOR: FINDING ALPHA  WITH ASSET4 ESG DATA,No,,
10,"ABB Buys Another One: MIncom, for Managing Mines",Yes,ABB,Mincom
11,"AOL Acquires StudioNow For $36.5M, Confirms Departure Of CTO Ted Cahall",Yes,AOL,StudioNow
12,Action App Corporation (OTC: ANDI) Buys Another iPhone App Developer,No,,
13,ActiveCause Assets Assimilated Into Ingk Labs Portfolio,Yes,Ingk Labs,ActiveCause
14,Adelman Travel Announces Partnership with TravelText,Yes,Adelman Travel ,TravelText
15,AeroMechanical Services Ltd. Acquires Assets of Wingspeed Corporation,Not sure,,
16,"Alibaba Group Acquires Kanbox, A Personal Cloud Storage Service",Yes,Alibaba Group,Kanbox
17,Allscripts HIMSS Press Release,Not sure,,
18,"Amazon buys screen tech from Samsung, introduces its own currency",No,,
19,Amazon spends $250M for Alexa Internet,No,,
20,Ambitious plan for the Year 2005 and solid business performance in the Year 2004,No,,
21,American CyberSystems to Buy Analysts International for $35 Million,Yes,American CyberSystems,Analysts International
22,Amgen pays Nektar $50M for polymer,Yes,Amgen,Nektar's polymer
23,"Android mobile platform, �up to� $US50 million (estimated)",Not a headline,,
