,Headline
0,Better Place Sold To Sunrise Group For $12 Million
1,Action App Corporation (OTC: ANDI) Buys Another iPhone App Developer
2,Docmail Connect for Google Apps launched!
3,"Rent My Vacation Home ( RMVH network)Opens Rent Disney World Vacation Homes in Orlando, Florida"
4,Entech Solar Enters Into Preferred Stock Agreement of Up to $5 million
5,Qiagen to pay up to $135M for Corbett Life Science.
6,La Nevera Roja compra Entuboca.com
7,Verify.IM Announced The Opening Pre-Registration Period
8,Level 3 To Acquire Global Crossing For $3 Billion In Stock
9,KEYON COMPLETES PURCHASE OF DYNAMIC BROADBAND WIRELESS ASSETS
10,TweetUp Buys Android Twitter Client Twidroid And News Aggregator Popurls
11,Microsoft Expands Presence in Healthcare IT Industry With Acquisition of Health Intelligence Software Azyxxi
12,Sugar Publishing Acquires ShopStyle
13,BETACOM SA CONNECTS TO THE EO NETWORKS SA
14,Invitel Reaches Sale and purchase Agreement for Fibernet
15,"Kratos Defense & Security Solutions Completes Merger With Digital Fusion, Inc."
16,Oxford University Hospitals NHS proves outstanding compliance levels with Enterprise Study
17,PayPal Hits 100 Million Active Users
18,3 Key Reasons Facebook Bought FriendFeed
19,Cascade Microtech Pays $27.7 Million for German Company
20,Good Energies Buys More Equity In Glass Maker SAGE
21,One year after the acquisition: was it all worth it?
22,Synnex buys IBM's customer care BPO services business for $505 million
23,Axial acquires Mayo Clinic mobile health startup mRemedy
24,Bentley Acquires Microprotol to Extend AutoPIPE�s Market Leadership in High-pressure Plant Environments
25,LibreDigital Buys E-Commerce Technology From HarperCollins
26,JavaScript with expiration date
27,"EGPI Firecreek, Inc. Subsidiary Terra Telecom Partners with New England-Based Community College"
28,FMC Technologies Awarded $36 Million Contract From Pemex
29,Allscripts HIMSS Press Release
30,Oomba Inc. Engages MZ Group for Investor Relations
31,"Trendrr Appoints Alex Mann, Founder of AM Analytics, its Director"
32,Zillow Buys Real Estate Listings Creation And Distribution Tool Postlets
33,MobileBits Aquires Aixum Tec A.G.
34,Upper Deck Social Panel: Today & Tomorrow
35,UPDATED: Amgen snags KAI Pharma's CKD program in $315M buyout
36,"Netsmart Acquires Sequest Technologies, Inc. to Expand Solutions and Presence in Child and Family Services and Substance Use Treatment Communities"
37,"Univa, United Devices Merge"
38,Nuance Communications To Buy QuadraMed's Health Information Management Business
39,Boston's Rue La La gets shuffled in eBay-GSI merger
40,Wright Medical to buy French firm for $75 million
41,DirecTV Buys LifeShield: Reports
42,EditMe - Reviews by PC Magazine
43,"Patrick Ip, 22 Year Old CEO, Merges with NYC's Post + Beam"
44,Syncables to Demonstrate Wireless Syncing of Computers and Phones with Syncables® 360 and Intel® My WiFi Technology at Computex
45,Danoo and Ideacast to relaunch as RMG Networks
46,SYNETY eyes global expansion with proposed reverse AIM listing
47,"Pipeline embraces expression, expansion at Innovator of the Year"
48,Adelman Travel Announces Partnership with TravelText
49,CallSource Appoints Brad Barnett as President
50,Gamevil to invest $10M in U.S. game developers
51,Google Closes The $12.5 Billion Deal To Own Motorola
52,Crosslink Names Former Bay Partners GP Eric Chin As Partner
53,"Internet Brands Buys Two Web Sites, Looks To Future Acquisitions"
54,"WDA and [x+1] merge to form a digital marketing company that spans digital display, mobile and social media"
55,Intel Corp acquires Ford Microelectronics Inc from Visteon Corp
56,Monroe Capital Provides $14 Million Senior Secured Credit Facility to Technology Services Company
57,Visumotion Changes Name to 3D International Group
58,[x+1] Names Bridget Bidlack as Vice President of Product Management
59,"Rancho Santa Monica Developments entered into an Agreement to sell AptHost Communications USA Ltd (""Apthost"") to Hostgator.com LLC"
60,Fenox Venture Capital Invests in Southeast Asian Technology Media Startup Tech in Asia
61,RedAlumnos supera los 50.000 usuarios
62,Vacation Home Spring of 2013
63,"Gamefly, Inc. acquired Direct2Drive.com"
64,"Rancho Santa Monica Developments entered into an Agreement to sell AptHost Communications USA Ltd (""Apthost"") to Hostgator.com LLC"
65,Odyssey Investment Partners Buys Fischbein
66,Tasit receives $2M from Aslanoba Capital
67,InQvent-backed healthcare services firm Alacurity eyes up to $5M in Series A funding
68,Verisign Sells mQube to Mobile Messenger for
69,Stemgent to buy Asterand�s human tissue biz for $9M
70,CognitiveData acquires CMS Direct
71,Crucell eagerly accepts $2.3B buyout offer from J&J
72,"The View Hot Topics - Ashley Madison, Cheating and Infidelity Web site"
73,Stryker Announces Agreements To Acquire Assets
74,Rent My Vacation Home Opens store number 25 Rent My Disney Vacation Home In Orlando Florida
75,Intel Again Seeks To Use Acquisitions To Expand In Wireless
76,Family-Focused Mobile Social Network 23snaps Hits Half A Million Users
77,Entelos pays up to $39M for Iconix Biosciences
78,"Trianz announces Beta release of IPSpace 1.0, a Royalty Management Solution for Intellectual Property Owners in High-Tech and Media Industries"
79,Mitre Media Announces $8.6M Capital Raise and Acquisitions
80,Equilar's Social Atlas Helps Advisers Lure Wealthy Facebook-Skipping CEOs
81,TCA's Ralph Mayer Joins Angel Capital Association Board
82,"Scientific Conservation Buys Public Company For $12.9M, Changes Name"
83,Pitchengine Social Media Release
84,Tri Pointe to buy Weyerhaeuser's homebuilding unit for $2.7 bln
85,RightStar Systems Acquires Fellow BMC Software Solution Provider Progressive Service Management
86,Yellow Media Sells Vertical Media Publishing Subsidiary For $745 Million In Cash
87,Boston Scientific buys Intelect Medical for $60M
88,MethylGene Shareholders Approve the Plan of Arrangement to Reincorporate in the United States as Mirati Therapeutics Inc.
89,American CyberSystems to Buy Analysts International for $35 Million
90,"Thermo Fisher Scientific Signs Agreement to Acquire Innovator in Miniature NMR Spectrometers, picoSpin"
91,"Google Buys Wind Power, First Deal for “Google Energy”"
92,"Imeem Gobbles Up A Young Startup, Anywhere.FM"
93,"Salesforce.com Takes $300M Loan For ExactTarget Acquisition, Cash Resources Getting Tight"
94,Sabre Holdings Buys EB2 International
95,myOpenID Affiliate Blog Post
96,"Amazon buys screen tech from Samsung, introduces its own currency"
97,Platinum Equity to Buy CBS Outdoor in $225 Mln Deal
98,"With FDA Approval In Hand, Asthmatx To Sell For Up To $443.5M"
99,Merger of NICHE and ChiHealth
100,"Suddenly, AOL Loves Lifestreaming; Buys Socialthing!"
101,Nuance buys Atlanta's Webmedx
102,US company likes Italian software and buys Viamente
103,Collective Buying Video Ad Firm Web TV Enterprise
104,Ambitious plan for the Year 2005 and solid business performance in the Year 2004
105,The Pursuant Group Acquires KMA Direct Communications
106,D.C. entrepreneur takes majority stake in Tech 2000
107,"Under NECA, Developers Icarus Studios, Zabu Studio Announce Merger to Form MFV"
108,Persistent Systems Recognized as a Top 100 Global Services Provider for 2012
109,Big news - Rackspace and Slicehost
110,Nokia to acquire leading consumer email and instant messaging provider OZ Communications
111,"Nstein Technologies acquires Eurocortex, a leading web content management software provider"
112,Saft Awarded $1.2 Million Contract by Ball Aerospace to Provide Lithium-ion Battery for LEO Satellite Program
113,LindenMobileVentures invests in Lunagames
114,Yahoo! Hack India 2013 To Be Held In Hyderabad
115,Top 50 Article Directories List
116,"Mistral Ventures, Inc. Signs LOI to Acquire Assets of Tech World Capital, Inc."
117,InnerWorkings Acquires UK-Based etrinsic Print Outsource Firm
118,We are joining Intuit!
119,Micron will acquire memory chip maker Numonyx for $1.27 billion
120,Kensey Nash buys Nerites for $20M
121,"Theravent (TM) Advanced Nightly Snore Therapy and Provent (R) Sleep Apnea Therapy Now Available Through Theravent, Inc."
122,Mascoma Acquires SunOpta BioProcess Inc.
123,Vacation Home Spring of 2013
124,"Quepasa, The Facebook For Latinos, Buys Social Game Developer XtFT For $4 Million"
125,Midas Medici's CIMCORP Wins $3 Million Contract for Data Center Solutions in Brazil
126,"VCE COALITION AND ACADIA COMBINED AND RENAMED VCE, THE VIRTUAL COMPUTING  ENVIRONMENT COMPANY"
127,Transcend Infrastructure (American Tower) to acquire Essar Telecom Infrastructure
128,"Youku to buy Tudou, creating China online video giant"
129,Carbox boucle une 3�me lev�e aupr�s de Mobivia Groupe
130,Updated: Cisco To Buy Interactive TV And Security Specialist NDS In $5B Deal
131,Amazon spends $250M for Alexa Internet
132,OutStart and Eedo Knowledgeware Merge
133,Pfizer ups ante on Santaris RNA discovery deal with $614M pact
134,MCI's Invia Reaches Purchase Deal for NetTravel
135,Quantcast Acquires Startup MakeGood To Improve Ad Data Aggregation
136,Xspand was acquired by Bear Stearns and is now part of JPMorgan
137,T-Mobile UK Launches Mobile Phone GPS Navigation with TeleNav
138,Meredith 10-q for Dec 2010
139,SavATree Acquires BEV Capital-Backed DeerTech
140,Taulia Raises $8.5 Million To Help Companies Pay Their Invoices Early
141,"Counting down to Alibaba, Qunar gives China�s IPO prospects another shot in the arm"
142,SAIC announces acquisition of Atlan
143,11 Billion Videos Viewed Online in the U.S. in April 2008
144,"Speakertext: Find, Read, Share – and Monetize – What People Are Saying Inside of Videos"
145,KeyToSound website front page news
146,"Rentrak buys Nielsen EDI, consolidating box office reporting business"
147,Event Management Giant Cvent Scoops Up Seed Labs To Help It Go Mobile
148,TweetUp Buys Android Twitter Client Twidroid And News Aggregator Popurls
149,Clavis Secures Funding from Enterprise Ireland
150,"Filmakers Library, Inc. Joins Forces with Alexander Street Press, LLC"
151,Unity Wireless Closes Acquisition of Celletra Ltd.
152,Updated: Cisco To Buy Interactive TV And Security Specialist NDS In $5B Deal
153,LifeLock Strengthens Market Position Through Acquisition of ID Analytics
154,TNW Startup Awards revela vencedores
155,Via @AwesomeTouch on Twitter
156,"Transhield Receives $8.3 Million Contract for Protective MRAP Vehicle and Equipment Covers, Making it the Largest Defence Contract in Company's History"
157,A NEW QUALITY FACTOR: FINDING ALPHA  WITH ASSET4 ESG DATA
158,"LiveIntent Adds Jason Pressman to Board, Raises $8 millon"
159,SYNETY eyes global expansion with proposed reverse AIM listing
160,"Yahoo Acquires Lexity, Will Keep Ecommerce App Platform Running But Rebrand It"
161,K5 Publishing integrates Diplomica Verlag
162,OUCH: AOL Sold Buy.at For Just $17 Million -- A $108 Million Loss
163,Gimv Buys CapMan Investments and Commitments
164,Nowaco CE Up for Sale by CCMP and Bancroft
165,Virya Technologies welcomes Chris Smith - Website design apprentice
166,Struggling Planet Out Merges with Here Network
167,Russian ISP Siberian Networks sells 20% ownership to CapMan
168,DFL-DDP Version 1.2 Is Coming Available In Our User-Only Forum
169,One Two Trade Forex
170,"GraphEffect Launches SHIFT.com, Former Facebook Leader Joins Executive Team"
171,So You Just Bought Sex.com For $13 Million – Now What?
172,Interview w/ Captain Dash Founders
173,Learn Arabic on busuu.com
174,"AOL Acquires StudioNow For $36.5M, Confirms Departure Of CTO Ted Cahall"
175,TNW: SWITZERLAND�S SQUIRRO RAISES SEED FUNDING TO HELP ADD CONTEXT TO YOUR DATA
176,TXTImpact Released Enhanced SMS Autoresponder for Text Message Marketing
177,"RedPrairie Acquires Shippers Commonwealth, Leading SaaS Transportation Management System (TMS) Provider"
178,ThingLink Acqu-hires Pixboom To Double Down On Fashion
179,Startup Acquires Web Host eNom
180,Blekko Bans 1.1 Million Spammy Domains Via New Algorithm
181,Meredith 10-q for Dec 2010
182,"Bwin- Gioco Digitale acquisition, the CEO reveals details of the agreement by 115 mln"
183,We’ll be providing certified digital IDs to French citizens with group La Poste
184,Memphis Networx Now Part of Zayo Bandwidth
185,Secure & IT acquired in 2010
186,Another Digg Exec Is Out: Longtime CFO John Moffett Leaves
187,GirlsInTech Pick Their Top 100 Women In Tech In Europe
188,'Telefonica confirms Tuenti stake acquisition'
189,One year after the acquisition: was it all worth it?
190,Diller's IAC buys social network site Zero Degrees
191,Music Tech Pioneers Combine to Create Premier Site for Collaboration
192,Say Goodbye to TweetChat� It�s Being Absorbed Into oneQube SmartStream
193,eStreet.com.ng Combats Nigerian Cyber-Fraud by Unveiling Africa�s First Social Earning Enterprise.
194,Intel’s Havok Acquires 3D Game Engine Provider Trinigy
195,Omnicity Acquires North Central Communications and Announces New Board Member
196,Softscape acquired by competing software firm
197,RelevantView Merges with Imperium
198,Software Updates Can't Slow Comm100 Live Chat
199,San Diego�s Vibrant Startup Community Shows Up For A Night Of Stellar Pitches
200,Tetra Tech Awarded $31 Million U.S. Navy Information Technology Support Contract
