,Acq Status,Acquirer,Acquired,Headline
0,Yes,Nokia,OZ Communications,Nokia to acquire leading consumer email and instant messaging provider OZ Communications
1,Yes,Sciele Pharma,"Addrenex Pharmaceuticals, Inc","Sciele Pharma, A Shionogi Company, To Acquire Addrenex Pharmaceuticals, Inc., A U.S. Specialty Pharmaceutical Company"
2,Yes,Haemonetics,"Global Med Technologies, Inc.","Haemonetics concludes successful tender for Global Med Technologies, Inc."
3,Yes,"Filmakers Library, Inc.","Alexander Street Press, LLC","Filmakers Library, Inc. Joins Forces with Alexander Street Press, LLC"
4,Yes,,,Nuance Closes Acquisition of BeVocal
5,Yes,Kensey Nash,Nerites,Kensey Nash buys Nerites for $20M
6,No,,,"LiveIntent Adds Jason Pressman to Board, Raises $8 millon"
7,No,,,One year after the acquisition: was it all worth it?
8,Not a headline,,,"Follow Reuters      Facebook     Twitter     RSS     YouTube    Pictures Visitors run away from waves from a tidal bore as it surges past a barrier on the banks of Qiantang River, in Hangzhou Zhejiang province, August 25, 2013. REUTERS/Stringer Reuters P"
9,Not a headline,,,myOpenID Affiliate Blog Post
