,Acq Status,Acquirer,Acquired,Completion Time,Student,Headline
6,Not sure,Entuboca.com,Nevera Roja,29.711000000000002,0,La Nevera Roja compra Entuboca.com
8,Yes,Level 3,Global Crossing,22.739999999999995,0,Level 3 To Acquire Global Crossing For $3 Billion In Stock
12,Yes,Sugar Publishing,ShopStyle,11.799999999999999,0,Sugar Publishing Acquires ShopStyle
14,Not sure,Invitel,Fibernet,19.767000000000003,0,Invitel Reaches Sale and purchase Agreement for Fibernet
15,Yes,Kratos Defense & Security Solution,"Digital Fusion, Inc.",14.47,0,"Kratos Defense & Security Solutions Completes Merger With Digital Fusion, Inc."
18,Yes,Facebook,FriendFeed,10.269,0,3 Key Reasons Facebook Bought FriendFeed
19,Yes,Cascade Microtech,,11.98,0,Cascade Microtech Pays $27.7 Million for German Company
23,Yes,Axial,Mayo Clinic mobile health startup mRemedy,19.873,0,Axial acquires Mayo Clinic mobile health startup mRemedy
29,Not sure,,,9.496,0,Allscripts HIMSS Press Release
30,Not sure,Oomba Inc.,MZ Group,15.614,0,Oomba Inc. Engages MZ Group for Investor Relations
31,Not sure,,,10.850000000000001,0,"Trendrr Appoints Alex Mann, Founder of AM Analytics, its Director"
40,Yes,Wright Medical,,8.756,0,Wright Medical to buy French firm for $75 million
43,Yes,Patrick Ip,Post + Beam,9.55,0,"Patrick Ip, 22 Year Old CEO, Merges with NYC's Post + Beam"
44,Not sure,Syncables,Intel,31.504,0,Syncables to Demonstrate Wireless Syncing of Computers and Phones with Syncables® 360 and Intel® My WiFi Technology at Computex
45,Yes,Danoo ,Ideacast,8.904,0,Danoo and Ideacast to relaunch as RMG Networks
47,No,Pipeline,,21.576,0,"Pipeline embraces expression, expansion at Innovator of the Year"
48,Yes,Adelman Travel ,TravelText,9.777999999999999,0,Adelman Travel Announces Partnership with TravelText
52,No,Crosslink,,15.826999999999998,0,Crosslink Names Former Bay Partners GP Eric Chin As Partner
53,Not sure,,,2.7810000000000024,0,"Internet Brands Buys Two Web Sites, Looks To Future Acquisitions"
55,Yes,Intel Corp,Ford Microelectronics Inc,21.544999999999998,0,Intel Corp acquires Ford Microelectronics Inc from Visteon Corp
56,No,,,17.195999999999998,0,Monroe Capital Provides $14 Million Senior Secured Credit Facility to Technology Services Company
57,Not sure,Visumotion,,27.947000000000003,0,Visumotion Changes Name to 3D International Group
61,Not sure,RedAlumnos,,10.001999999999999,0,RedAlumnos supera los 50.000 usuarios
66,No,,,14.445000000000002,0,Tasit receives $2M from Aslanoba Capital
67,Not sure,Alacurity,,10.061,0,InQvent-backed healthcare services firm Alacurity eyes up to $5M in Series A funding
69,Not sure,Stemgent,,18.503,0,Stemgent to buy Asterand�s human tissue biz for $9M
72,Not a headline,,,4.616999999999999,0,"The View Hot Topics - Ashley Madison, Cheating and Infidelity Web site"
75,Yes,Intel,,30.682999999999996,0,Intel Again Seeks To Use Acquisitions To Expand In Wireless
81,Not sure,TCA,Angel Capital Association,18.125,0,TCA's Ralph Mayer Joins Angel Capital Association Board
83,Not a headline,,,8.649000000000001,0,Pitchengine Social Media Release
84,No,Tri Pointe,Weyerhaeuser,15.221999999999998,0,Tri Pointe to buy Weyerhaeuser's homebuilding unit for $2.7 bln
89,Yes,American CyberSystems,Analysts International,10.882,0,American CyberSystems to Buy Analysts International for $35 Million
94,Yes,Sabre Holdings,EB2 International,9.768,0,Sabre Holdings Buys EB2 International
95,Not a headline,,,4.840999999999999,0,myOpenID Affiliate Blog Post
96,No,,,9.252,0,"Amazon buys screen tech from Samsung, introduces its own currency"
100,Yes,AOL,Socialthing,15.258,0,"Suddenly, AOL Loves Lifestreaming; Buys Socialthing!"
101,Yes,Nuance,Webmedx,9.903,0,Nuance buys Atlanta's Webmedx
102,Yes,,Viamente,5.445999999999999,0,US company likes Italian software and buys Viamente
106,No,,,4.372,0,D.C. entrepreneur takes majority stake in Tech 2000
110,Yes,Nokia,OZ Communications,13.731,0,Nokia to acquire leading consumer email and instant messaging provider OZ Communications
111,Yes,Nstein Technologies,Eurocortex,10.274999999999999,0,"Nstein Technologies acquires Eurocortex, a leading web content management software provider"
118,Yes,Intuit,,19.018,0,We are joining Intuit!
121,No,,,18.391,0,"Theravent (TM) Advanced Nightly Snore Therapy and Provent (R) Sleep Apnea Therapy Now Available Through Theravent, Inc."
125,No,,,3.6259999999999994,0,Midas Medici's CIMCORP Wins $3 Million Contract for Data Center Solutions in Brazil
134,Yes,NetTravel,Invia,35.15,0,MCI's Invia Reaches Purchase Deal for NetTravel
136,Yes,JPMorgan,Xspand,23.654,0,Xspand was acquired by Bear Stearns and is now part of JPMorgan
140,No,,,2.7560000000000002,0,Taulia Raises $8.5 Million To Help Companies Pay Their Invoices Early
144,No,,,3.3529999999999998,0,"Speakertext: Find, Read, Share – and Monetize – What People Are Saying Inside of Videos"
145,No,,,6.694,0,KeyToSound website front page news
146,Yes,Rentrak,Nielsen EDI,12.85,0,"Rentrak buys Nielsen EDI, consolidating box office reporting business"
147,Yes,Cvent,Seed Labs,19.553,0,Event Management Giant Cvent Scoops Up Seed Labs To Help It Go Mobile
149,Not sure,Enterprise Ireland,Clavis ,19.837999999999997,0,Clavis Secures Funding from Enterprise Ireland
159,Not sure,SYNETY,,6.709,0,SYNETY eyes global expansion with proposed reverse AIM listing
161,Yes,K5 Publishing,Diplomica Verlag,12.120999999999999,0,K5 Publishing integrates Diplomica Verlag
162,No,,,11.026,0,OUCH: AOL Sold Buy.at For Just $17 Million -- A $108 Million Loss
163,Yes,Gimv ,CapMan Investments,12.032000000000002,0,Gimv Buys CapMan Investments and Commitments
164,No,,,5.053000000000001,0,Nowaco CE Up for Sale by CCMP and Bancroft
166,Yes,Planet Out ,Here Network,17.954,0,Struggling Planet Out Merges with Here Network
169,Not sure,,,4.479000000000001,0,One Two Trade Forex
171,Yes,,Sex.com,5.503,0,So You Just Bought Sex.com For $13 Million – Now What?
173,Not a headline,,,7.963000000000001,0,Learn Arabic on busuu.com
177,Yes,RedPrairie,Shippers Commonwealth,14.459,0,"RedPrairie Acquires Shippers Commonwealth, Leading SaaS Transportation Management System (TMS) Provider"
178,Yes,ThingLink,Pixboom,21.494,0,ThingLink Acqu-hires Pixboom To Double Down On Fashion
185,Yes,,Secure & IT,9.825000000000001,0,Secure & IT acquired in 2010
187,No,,,3.184000000000001,0,GirlsInTech Pick Their Top 100 Women In Tech In Europe
188,Not sure,Telefonica,Tuenti,9.533999999999999,0,'Telefonica confirms Tuenti stake acquisition'
193,No,,,6.914999999999999,0,eStreet.com.ng Combats Nigerian Cyber-Fraud by Unveiling Africa�s First Social Earning Enterprise.
194,Yes,Intel,Trinigy,11.155,0,Intel’s Havok Acquires 3D Game Engine Provider Trinigy
199,No,,,2.9430000000000005,0,San Diego�s Vibrant Startup Community Shows Up For A Night Of Stellar Pitches
200,No,,,3.6629999999999994,0,Tetra Tech Awarded $31 Million U.S. Navy Information Technology Support Contract
201,Yes,SINA,Focus Media,13.094000000000001,0,Chinese Portal Company SINA Buys Part of Focus Media For About $1B in Stock
203,Yes,Electronic Arts,PlayNation,12.924,0,Electronic Arts Announces Acquisition of PlayNation; Online Entertainment Developer Adds to EA's Internet Content.
205,Yes,CDC Software,WKD Solutions,9.494999999999997,0,CDC Software aquires WKD Solutions
206,Yes,Hologic,Gen-Probe,9.087000000000002,0,Hologic to buy Gen-Probe in a deal worth $3.7B
211,No,,,2.45,0,Synageva lands orphan drug status in Europe
216,Yes,8x8,"Central Host, Inc.",8.495,0,"8x8 Announces Acquisition of Central Host, Inc."
217,Yes,HealthCentral Network ,TheBody.com,9.791,0,HealthCentral Network Acquires HIV Resources Site TheBody.com
218,Yes,80108,Go2,8.939,0,80108 and Go2 merge to focus on personal mobile content
232,Not sure,Microsoft,CodeTw,20.316000000000003,0,CodeTwo Attains Microsoft Certified Partner Status
238,Not sure,,,10.411,0,"Carpathia Hosting Names Michael Fox Director of Sales, Public Sector"
240,No,,,2.221,0,Mortgage closing costs up 6% this year
246,Yes,Joyus,Foodzie,11.933000000000002,0,Food Subscription Service Foodzie Gets Gobbled Up By Video Shopping Network Joyus
249,Yes,Webroot,BrightCloud,11.901,0,Webroot Acquires Hosted Internet Security Services Provider BrightCloud
252,No,,,2.7989999999999995,0,Petsky Prunier Advises SQAD on its Sale to Clarion Capital Partners
259,Yes,Biomedical Structures, Concordia,12.294,0,Biomedical Structures buys fellow Warwick biomaterial firm Concordia
260,Yes,Ellie Mae,Mavent,11.823,0,Mavent Acquired By Ellie Mae
261,Not sure,PMC-Sierra,Wintegra,20.278,0,Onetime IPO Candidate Wintegra Bought By PMC-Sierra
262,Yes,Daiichi Sankyo Group,Plexxikon Inc.,12.234,0,Plexxikon Inc. To Join Daiichi Sankyo Group
264,No,,,2.49,0,3 Rules You Must Follow If You Want Your Company to Be Exceptional
266,Yes,RBC ,BlueBay,10.225999999999999,0,RBC To Buy BlueBay For US$1.5B
275,Not sure,Vuclip,,36.772,0,"In The Shadow Of YouTube, Vuclip Grows Its Mobile Video Network To 80M Uniques, Fends Off Suitors And Eyes Up Acquisitions"
278,Not sure,AeroMechanical Services Ltd. ,Wingspeed Corporation,23.648,0,AeroMechanical Services Ltd. Acquires Assets of Wingspeed Corporation
281,Yes,Tecomet,OEM,10.786999999999999,0,Tecomet pays $45M in cash for OEM biz
283,Yes,,Civica,5.8100000000000005,0,Canadian private equity group buys Civica for �380 million
285,Not sure,Infotech Enterprises,,13.349,0,Infotech Enterprises announces its foray into the Hitech industry with Design services
290,Yes,Peak Rock,Atlas Paper,9.626999999999999,0,Peak Rock Buys Atlas Paper
291,Yes,Flipkart,Letsbuy.com,14.101,0,Flipkart Acquires Letsbuy.com to Increase India Market Share
292,Yes,ZeniMax,Id Software,12.334999999999999,0,ZeniMax Raised $105 Million To Buy Id Software
295,Yes,Nestle,,7.652000000000001,0,Nestle Buys 'Medical Food' Start-Up
297,Yes,Global Payments Inc.,Auctionpay,10.76,0,Auctionpay Acquired by Global Payments Inc.
301,Yes,Line Systems,Magellan Hill Technologies,10.333,0,Line Systems Acquires Magellan Hill Technologies
302,Not sure,Westaim,NUCRYST Pharmaceuticals,12.725999999999999,0,Westaim Announces Amalgamation Agreement with NUCRYST Pharmaceuticals
303,Yes,GEC,Fore Systems,9.597999999999999,0,GEC offers over $4 billion for Fore Systems
305,Not a headline,,,5.681,0,Values of n Blog
306,Not sure,Dell,Zing,18.995,0,Dell Shops Direct For Zing
322,Yes,SheKnows.com,,6.022,0,SheKnows.com Buys Two Pregnancy Sites
323,Not sure,Plum Creek,Atlanta,15.267000000000001,0,Plum Creek buys Atlanta quarry interest for $154M
324,Yes,Facebook ,Chai Labs,12.251000000000001,0,"Facebook Makes Another ""Acq-Hire"" Chai Labs; Deal Estimated At $10 Million"
332,Yes,Terremark,,8.431999999999999,0,Terremark Acquires Leading Data Storage Company
333,Yes,SCM Microsystems,Hirsch Electronics,12.827,0,SCM Microsystems and Hirsch Electronics to Merge
334,No,,,3.8729999999999993,0,"Web 2.0 Finance Startup, Stockopedia raises over $700,000 in bid to transform online UK financial media - See more at: http://www.stockopedia.c"
335,No,,,12.456,0,Amazon spends $250M for Alexa Internet
344,Not sure,"NeuroDyne Medical, Corp.",Zynex,15.065000000000001,0,"Zynex Enters into Letter of Intent with NeuroDyne Medical, Corp."
351,No,,,6.828999999999999,0,RuTube Founders Exit at $15 Million Valuation
354,Not sure,,,3.248,0,Netural holt sich Mark Kramer
367,No,,,2.7840000000000007,0,Honored by the Windows Azure Partner Award of 2010
368,Not sure,Teradata,xkoto,16.368,0,Teradata Quiet on Plans for Database Virtualization Vendor xkoto
373,Not sure,Komli Media,,10.291999999999998,0,Komli Media Expands Aggressively Across Asia-Pacific
382,Yes,Iliad,LibertySurf Group,13.226999999999999,0,Telecom Italia Completes Sale of LibertySurf Group to Iliad
385,No,,,6.505999999999999,0,Comtech and CPI International Announce Termination of Merger Agreement
387,Yes,Mobile Messenger,mQub,10.456999999999999,0,Verisign Sells mQube to Mobile Messenger for
390,Not sure,Sina Afra,Lidyana,9.967,0,Sina Afra invests in Lidyana
393,Yes,"Tangoe, Inc. ",ttMobiles,9.327,0,"Tangoe, Inc. Acquires ttMobiles"
395,Yes,,Talecris,8.052,0,Spanish buyer set to take over Talecris
399,Yes,Danoo,Ideacast,10.972,0,Danoo and Ideacast to relaunch as RMG Networks
400,Yes,Sunrise Group,Better Place,20.483,1,Better Place Sold To Sunrise Group For $12 Million
401,No,,,11.058,1,Action App Corporation (OTC: ANDI) Buys Another iPhone App Developer
403,No,,,3.7889999999999997,1,"Rent My Vacation Home ( RMVH network)Opens Rent Disney World Vacation Homes in Orlando, Florida"
407,No,,,3.5220000000000002,1,Verify.IM Announced The Opening Pre-Registration Period
410,Yes,TweetUp,Twitroid and News Aggregaror Popurls,33.731,1,TweetUp Buys Android Twitter Client Twidroid And News Aggregator Popurls
412,Yes,Sugar Publishing,ShopStyle,17.901,1,Sugar Publishing Acquires ShopStyle
414,Yes,Invitel,Fibernet,9.391,1,Invitel Reaches Sale and purchase Agreement for Fibernet
418,Yes,Facebook,Friendfeed,13.118,1,3 Key Reasons Facebook Bought FriendFeed
420,No,,,5.775,1,Good Energies Buys More Equity In Glass Maker SAGE
422,Yes,Synnex,BPO services,14.99,1,Synnex buys IBM's customer care BPO services business for $505 million
423,Yes,Axial,mRemedy,19.341,1,Axial acquires Mayo Clinic mobile health startup mRemedy
424,Yes,Bentley,Microprotol,17.752,1,Bentley Acquires Microprotol to Extend AutoPIPE�s Market Leadership in High-pressure Plant Environments
428,No,,,3.9160000000000004,1,FMC Technologies Awarded $36 Million Contract From Pemex
433,Yes,MobileBits,Axium Tec A.G.,14.894,1,MobileBits Aquires Aixum Tec A.G.
438,Yes,Nuance Communications,Quadramed's Health Information Management Business,29.569,1,Nuance Communications To Buy QuadraMed's Health Information Management Business
440,Yes,Wright Medical,French firm,15.326,1,Wright Medical to buy French firm for $75 million
451,Yes,Google,Motorola,10.573,1,Google Closes The $12.5 Billion Deal To Own Motorola
455,Yes,Intel Corp,Ford Microelectronics,37.042,1,Intel Corp acquires Ford Microelectronics Inc from Visteon Corp
458,No,,,3.037,1,[x+1] Names Bridget Bidlack as Vice President of Product Management
471,Yes,J&J,Crucell,13.49,1,Crucell eagerly accepts $2.3B buyout offer from J&J
472,Not a headline,,,3.2119999999999997,1,"The View Hot Topics - Ashley Madison, Cheating and Infidelity Web site"
476,No,,,1.718,1,Family-Focused Mobile Social Network 23snaps Hits Half A Million Users
477,Not sure,Entelos,Iconix Biosciences,14.125999999999998,1,Entelos pays up to $39M for Iconix Biosciences
479,No,,,2.1849999999999996,1,Mitre Media Announces $8.6M Capital Raise and Acquisitions
485,Yes,RightStar Systems,Progressive Service Management,21.916999999999998,1,RightStar Systems Acquires Fellow BMC Software Solution Provider Progressive Service Management
490,Yes,Thermo Fisher Scientific,picoSpin,28.593,1,"Thermo Fisher Scientific Signs Agreement to Acquire Innovator in Miniature NMR Spectrometers, picoSpin"
492,Yes,Imeem,Anywhere.FM,9.93,1,"Imeem Gobbles Up A Young Startup, Anywhere.FM"
493,No,,,2.0949999999999998,1,"Salesforce.com Takes $300M Loan For ExactTarget Acquisition, Cash Resources Getting Tight"
498,No,,,11.173,1,"With FDA Approval In Hand, Asthmatx To Sell For Up To $443.5M"
503,Yes,Collective,Video Ad Firm Web TV Enterprise,21.976,1,Collective Buying Video Ad Firm Web TV Enterprise
504,No,,,1.6090000000000004,1,Ambitious plan for the Year 2005 and solid business performance in the Year 2004
509,Not sure,Rackspace,Slicehost,12.579,1,Big news - Rackspace and Slicehost
